MOVIE_NM,DRCTR_NM,MAKR_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,VIEWNG_NMPR_CO,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM,CRITIC_RT,VIEWER_RT,YEAR,MONTH,DISTB_CMPNY_COUNT,SUCCESS
신비아파트 극장판 하늘도깨비 대 요르문간드,변영규,(주)씨제이이엔엠,['(주)씨제이이엔엠'],20191219,개봉영화,장편,한국,841.0,221099.0,25888.0,애니메이션,전체관람가,일반영화,6.0,8.54,2019,12,1,1.0
탈출,이숭환,(주)케이알씨지,['(주)케이알씨지'],20191219,개봉영화,장편,한국,5.0,33.0,1.0,드라마,12세이상관람가,독립/예술영화,5.59,7.44,2019,12,1,0.0
호흡,권만기,한국영화아카데미,['(주)영화사 그램'],20191219,개봉영화,장편,한국,22.0,246.0,65.0,드라마,15세이상관람가,독립/예술영화,5.59,7.44,2019,12,1,0.0
천문: 하늘에 묻는다,허진호,(주)하이브미디어코프,['롯데컬처웍스(주)롯데엔터테인먼트'],20191226,개봉영화,장편,한국,1198.0,1034866.0,260317.0,사극,12세이상관람가,일반영화,6.7,8.81,2019,12,1,1.0
잊지 않았어요,박용철,청개구리필름,['주식회사 씨엠닉스'],20200101,개봉영화,장편,한국,1.0,75.0,75.0,기타,15세이상관람가,독립/예술영화,5.59,7.44,2020,01,1,0.0
청춘빌라 살인사건,신해강,(주)메가폰엔터테인먼트,['(주)미로스페이스'],20200102,개봉영화,장편,한국,6.0,1068.0,337.0,코미디,15세이상관람가,독립/예술영화,5.33,6.81,2020,01,1,1.0
몽마르트 파파,민병우,"웃음을 주는 영화,(주)해밀픽쳐스",['(주)트리플픽쳐스'],20200109,개봉영화,장편,한국,42.0,6580.0,3124.0,다큐멘터리,전체관람가,독립/예술영화,6.0,9.48,2020,01,1,1.0
울지마 톤즈 2 : 슈크란 바바,강성옥,"KBS 미디어,(주)드림팩트엔터테인먼트,원피스",['(주)영화특별시에스엠씨'],20200109,개봉영화,장편,한국,232.0,19632.0,7366.0,다큐멘터리,전체관람가,독립/예술영화,4.0,9.44,2020,01,1,1.0
해치지않아,손재곤,"(주)디씨지플러스,(주)어바웃필름",['(주)에이스메이커무비웍스'],20200115,개봉영화,장편,한국,1216.0,1209689.0,262944.0,코미디,12세이상관람가,일반영화,6.5,6.2,2020,01,1,1.0
갱,조바른,"(주)스토리풀,(주)컨텐츠 빌리지,(주)모그픽쳐스",['(주)삼백상회'],20200116,개봉영화,장편,한국,53.0,9463.0,222.0,액션,15세이상관람가,독립/예술영화,6.0,6.02,2020,01,1,1.0
엄마 바람피게하기,윤원규,주식회사 마운틴픽쳐스,['주식회사 마운틴픽쳐스'],20200116,개봉영화,장편,한국,5.0,92.0,75.0,코미디,12세이상관람가,독립/예술영화,5.59,5.59,2020,01,1,0.0
남산의 부장들,우민호,(주)하이브미디어코프,['(주)쇼박스'],20200122,개봉영화,장편,한국,1659.0,4750104.0,1113402.0,드라마,15세이상관람가,일반영화,6.9,7.47,2020,01,1,1.0
미스터 주: 사라진 VIP,김태윤,리양필름(주),"['메가박스중앙(주)플러스엠', '(주)리틀빅픽쳐스']",20200122,개봉영화,장편,한국,692.0,601675.0,115640.0,코미디,12세이상관람가,일반영화,4.5,4.57,2020,01,2,1.0
히트맨,최원섭,베리굿스튜디오(주),['롯데컬처웍스(주)롯데엔터테인먼트'],20200122,개봉영화,장편,한국,1122.0,2406232.0,472840.0,코미디,15세이상관람가,일반영화,5.59,7.44,2020,01,1,1.0
작은 빛,조민재,영화사 낭,['(주)시네마달'],20200123,개봉영화,장편,한국,21.0,1926.0,1427.0,드라마,12세이상관람가,독립/예술영화,8.67,7.26,2020,01,1,1.0
성혜의 나라,정형석,닷 팩토리,['아이 엠'],20200130,개봉영화,장편,한국,28.0,1785.0,1275.0,드라마,12세이상관람가,독립/예술영화,6.0,7.41,2020,01,1,1.0
핑크퐁 시네마 콘서트 : 우주대탐험,변희선,스마트스터디(주),['스마트스터디(주)'],20200130,개봉영화,장편,한국,182.0,15229.0,3700.0,애니메이션,전체관람가,일반영화,5.59,8.81,2020,01,1,1.0
클로젯,김광빈,"(주)영화사 월광,(주)퍼펙트스톰필름",['(주)씨제이이엔엠'],20200205,개봉영화,장편,한국,1197.0,1264970.0,286754.0,미스터리,15세이상관람가,일반영화,5.5,6.39,2020,02,1,1.0
극장판 미니특공대: 공룡왕 디노,이영준,(주)삼지애니메이션,['(주)리틀빅픽쳐스'],20200206,개봉영화,장편,한국,485.0,78929.0,10052.0,애니메이션,전체관람가,일반영화,5.0,8.76,2020,02,1,1.0
정직한 후보,장유정,"(주)수필름,(주)홍필름",['(주)넥스트엔터테인먼트월드(NEW)'],20200212,개봉영화,장편,한국,1187.0,1525718.0,331403.0,코미디,12세이상관람가,일반영화,5.75,5.99,2020,02,1,1.0
혼 : 공포의 시작,유성호,영화사 딴판,['(주)드림팩트엔터테인먼트'],20200213,개봉영화,장편,한국,9.0,131.0,32.0,공포(호러),12세이상관람가,독립/예술영화,5.59,4.02,2020,02,1,0.0
기도하는 남자,강동헌,"영화사 연,클리어마인드스튜디오(주)",['(주)랠리버튼'],20200220,개봉영화,장편,한국,34.0,1616.0,1067.0,드라마,15세이상관람가,독립/예술영화,6.0,8.3,2020,02,1,1.0
기억의 전쟁,이길보라,영화사고래,['(주)시네마달'],20200227,개봉영화,장편,한국,14.0,1882.0,1571.0,다큐멘터리,12세이상관람가,독립/예술영화,6.5,7.48,2020,02,1,1.0
장마,"이용남,음정현",영화사 무명,['영화사 무명'],20200227,개봉영화,장편,한국,1.0,1962.0,1945.0,다큐멘터리,전체관람가,독립/예술영화,5.59,9.44,2020,02,1,1.0
찬실이는 복도 많지,김초희,"(주)지이프로덕션,(주)사이드미러",['찬란'],20200305,개봉영화,장편,한국,241.0,27672.0,16724.0,드라마,전체관람가,독립/예술영화,7.0,8.78,2020,03,1,1.0
비행,조성빈,㈜ 써드아이비디오,"['아이 엠', '케이티하이텔(주)']",20200319,개봉영화,장편,한국,128.0,3326.0,1881.0,드라마,15세이상관람가,독립/예술영화,5.8,7.3,2020,03,2,1.0
산티아고의 흰 지팡이,이종은,제이리미디어,['제이리미디어'],20200319,개봉영화,장편,한국,21.0,1006.0,708.0,다큐멘터리,전체관람가,독립/예술영화,5.59,8.0,2020,03,1,1.0
사랑하고 있습니까,김정권,(주)강철필름,['주식회사 블루필름웍스'],20200325,개봉영화,장편,한국,295.0,12878.0,4066.0,판타지,12세이상관람가,일반영화,3.5,4.71,2020,03,1,1.0
이장,정승오,㈜인디스토리,['㈜인디스토리'],20200325,개봉영화,장편,한국,82.0,4878.0,2438.0,드라마,12세이상관람가,독립/예술영화,6.38,8.35,2020,03,1,1.0
공수도,채여준,"(주)그노스,꿀잼컴퍼니(주)",['(주)그노스'],20200409,개봉영화,장편,한국,79.0,2950.0,930.0,액션,15세이상관람가,일반영화,5.59,8.75,2020,04,1,1.0
서치 아웃,곽정,(주)디엔와이,"['(주)스톰픽쳐스코리아', '(주)삼백상회']",20200415,개봉영화,장편,한국,355.0,34115.0,7283.0,스릴러,15세이상관람가,독립/예술영화,4.0,4.02,2020,04,2,1.0
유령선,김지영,(주)왝더독,['(주)엣나인필름'],20200415,개봉영화,장편,한국,165.0,20784.0,7684.0,다큐멘터리,12세이상관람가,독립/예술영화,6.0,6.16,2020,04,1,1.0
설화,최형렬,(주)유비네트워크,['(주)유비네트워크'],20200416,개봉영화,장편,한국,4.0,129.0,60.0,스릴러,15세이상관람가,독립/예술영화,2.0,6.2,2020,04,1,0.0
좀비파이터,임지환,스토리웨이브픽쳐스,['(주)미로스페이스'],20200416,개봉영화,장편,한국,5.0,136.0,88.0,공포(호러),15세이상관람가,독립/예술영화,4.0,6.02,2020,04,1,0.0
그녀의 비밀정원,김인식,(주)인디컴미디어,"['(유)조이앤시네마', '(주)제이앤씨미디어그룹']",20200422,개봉영화,장편,한국,79.0,1254.0,375.0,드라마,15세이상관람가,독립/예술영화,4.25,2.77,2020,04,2,1.0
바람의 언덕,박석영,영화사 삼순,['영화사 삼순'],20200423,개봉영화,장편,한국,28.0,1794.0,1079.0,드라마,전체관람가,독립/예술영화,6.17,8.36,2020,04,1,1.0
호텔 레이크,윤은경,"(주)이에스픽쳐스,㈜인디스토리",['(주)스마일이엔티'],20200429,개봉영화,장편,한국,465.0,70019.0,13345.0,공포(호러),15세이상관람가,독립/예술영화,5.33,5.3,2020,04,1,1.0
저 산 너머,최종태,리온픽쳐스(주),['(주)리틀빅픽쳐스'],20200430,개봉영화,장편,한국,468.0,103534.0,32623.0,드라마,12세이상관람가,일반영화,5.0,8.22,2020,04,1,1.0
슈팅걸스,배효민,"새바엔터테인먼트,(주)아이언 스튜디오",['(주)영화사오원'],20200506,개봉영화,장편,한국,207.0,4587.0,913.0,드라마,12세이상관람가,독립/예술영화,4.5,5.78,2020,05,1,1.0
아르코라이브 무용 히트 앤 런,감독명 누락,한국문화예술위원회,['한국문화예술위원회'],20200506,개봉영화,장편,한국,6.0,49.0,29.0,공연,전체관람가,일반영화,5.59,7.44,2020,05,1,0.0
죽도 서핑 다이어리,이현승,스튜디오블루(주),['(주)에스와이코마드'],20200507,개봉영화,장편,한국,2.0,125.0,97.0,드라마,12세이상관람가,독립/예술영화,5.59,5.62,2020,05,1,0.0
얼굴없는 보스: 못다한 이야기 감독판,임성용,(주)좋은 하늘,"['(주)좋은 하늘', '(주)박수엔터테인먼트']",20200513,개봉영화,장편,한국,50.0,1662.0,332.0,범죄,15세이상관람가,일반영화,5.59,4.59,2020,05,2,1.0
고양이 집사,이희섭,엠앤씨에프,['㈜인디스토리'],20200514,개봉영화,장편,한국,49.0,2399.0,1287.0,다큐멘터리,전체관람가,독립/예술영화,5.5,9.31,2020,05,1,1.0
범털,강태호,(주)피터팬픽쳐스,['(주)피터팬픽쳐스'],20200514,개봉영화,장편,한국,48.0,1741.0,340.0,범죄,15세이상관람가,독립/예술영화,5.59,4.73,2020,05,1,1.0
파도를 걷는 소년,최창환,(주)컬쳐플랫폼,['매치컷(주)'],20200514,개봉영화,장편,한국,25.0,943.0,518.0,드라마,15세이상관람가,독립/예술영화,5.75,6.67,2020,05,1,0.0
머피와 샐리의 법칙,김문옥,"시네마테크 충무로,스마일픽쳐스",['에이 라이프'],20200520,개봉영화,장편,한국,1.0,106.0,106.0,코미디,12세이상관람가,일반영화,5.59,9.5,2020,05,1,0.0
아르코라이브 의자 고치는 여인,감독명 누락,한국문화예술위원회,['(주)아이디어랩'],20200520,개봉영화,장편,한국,6.0,102.0,86.0,공연,12세이상관람가,일반영화,5.59,7.44,2020,05,1,0.0
나는보리,김진유,파도,['(주)영화사 진진'],20200521,개봉영화,장편,한국,158.0,11579.0,6321.0,가족,전체관람가,독립/예술영화,6.25,9.44,2020,05,1,1.0
아홉 스님,윤성준,"(주)퍼스트런,우주레이블","['(주)퍼스트런', '(주)키다리이엔티']",20200527,개봉영화,장편,한국,141.0,22330.0,13607.0,드라마,전체관람가,독립/예술영화,5.67,8.76,2020,05,2,1.0
"안녕, 미누",지혜원,바른미디어,"['영화사 풀', '(주)영화사 친구']",20200527,개봉영화,장편,한국,25.0,2850.0,2020.0,다큐멘터리,12세이상관람가,독립/예술영화,6.75,9.52,2020,05,2,1.0
초미의 관심사,남연우,(주) 레진스튜디오,['(주)트리플픽쳐스'],20200527,개봉영화,장편,한국,380.0,16137.0,5682.0,드라마,15세이상관람가,독립/예술영화,6.0,7.41,2020,05,1,1.0
런 보이 런,오원재,"(주)라온컴퍼니플러스,(주)오아시스이엔티",['(주)라온컴퍼니플러스'],20200528,개봉영화,장편,한국,25.0,2956.0,1536.0,드라마,15세이상관람가,일반영화,5.59,7.37,2020,05,1,1.0
국도극장,전지희,명필름랩,['명필름랩'],20200529,개봉영화,장편,한국,7.0,337.0,171.0,드라마,12세이상관람가,독립/예술영화,6.33,8.5,2020,05,1,0.0
국도극장: 감독판,전지희,명필름랩,['명필름랩'],20200529,개봉영화,장편,한국,1.0,1106.0,700.0,드라마,12세이상관람가,독립/예술영화,5.59,8.69,2020,05,1,1.0
침입자,손원평,(주)비에이엔터테인먼트,['(주)에이스메이커무비웍스'],20200604,개봉영화,장편,한국,1365.0,531212.0,110923.0,미스터리,15세이상관람가,일반영화,5.59,7.44,2020,06,1,1.0
