MOVIE_NM,DRCTR_NM,MAKR_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM,CRITIC_RT,VIEWER_RT
월성,"남태제,김성환",한국탐사저널리즘센터,(주)리틀빅픽쳐스,20191212,개봉영화,장편,한국,26.0,3003500.0,468.0,265000.0,36.0,다큐멘터리,전체관람가,독립/예술영화,4.67,6.25
시동,최정열,(주)외유내강,(주)넥스트엔터테인먼트월드(NEW),20191218,개봉영화,장편,한국,1515.0,6862456560.0,791052.0,1421008240.0,158887.0,드라마,15세이상관람가,일반영화,6.0,7.57
기억할 만한 지나침,박영임,순리필름,영화배급협동조합 씨네소파,20191219,개봉영화,장편,한국,2.0,1215000.0,187.0,591000.0,67.0,드라마,15세이상관람가,독립/예술영화,5.67,7.44
백두산,"이해준,김병서","주식회사 덱스터 픽쳐스,(주)퍼펙트스톰필름,(주)씨제이이엔엠","(주)씨제이이엔엠,(주)덱스터스튜디오",20191219,개봉영화,장편,한국,1971.0,16919576530.0,1962167.0,3590482780.0,406602.0,어드벤처,12세이상관람가,일반영화,5.67,5.74
신비아파트 극장판 하늘도깨비 대 요르문간드,변영규,(주)씨제이이엔엠,(주)씨제이이엔엠,20191219,개봉영화,장편,한국,841.0,1746167940.0,221099.0,216952340.0,25888.0,애니메이션,전체관람가,일반영화,6.0,8.54
탈출,이숭환,(주)케이알씨지,(주)케이알씨지,20191219,개봉영화,장편,한국,5.0,33000.0,33.0,1000.0,1.0,드라마,12세이상관람가,독립/예술영화,5.59,7.44
호흡,권만기,한국영화아카데미,(주)영화사 그램,20191219,개봉영화,장편,한국,22.0,1227000.0,246.0,549000.0,65.0,드라마,15세이상관람가,독립/예술영화,5.59,7.44
천문: 하늘에 묻는다,허진호,(주)하이브미디어코프,롯데컬처웍스(주)롯데엔터테인먼트,20191226,개봉영화,장편,한국,1198.0,8694300070.0,1034866.0,2190485310.0,260317.0,사극,12세이상관람가,일반영화,6.7,8.81
"센베노,평창",곽동철,더슛미디어,주식회사 씨엠닉스,20200101,개봉영화,장편,한국,1.0,261000.0,68.0,,,다큐멘터리,12세이상관람가,독립/예술영화,5.59,7.44
잊지 않았어요,박용철,청개구리필름,주식회사 씨엠닉스,20200101,개봉영화,장편,한국,1.0,260000.0,75.0,260000.0,75.0,기타,15세이상관람가,독립/예술영화,5.59,7.44
청춘빌라 살인사건,신해강,(주)메가폰엔터테인먼트,(주)미로스페이스,20200102,개봉영화,장편,한국,6.0,6714500.0,1068.0,2863500.0,337.0,코미디,15세이상관람가,독립/예술영화,5.33,6.81
몽마르트 파파,민병우,"웃음을 주는 영화,(주)해밀픽쳐스",(주)트리플픽쳐스,20200109,개봉영화,장편,한국,42.0,48610800.0,6580.0,24893800.0,3124.0,다큐멘터리,전체관람가,독립/예술영화,6.0,9.48
울지마 톤즈 2 : 슈크란 바바,강성옥,"KBS 미디어,(주)드림팩트엔터테인먼트,원피스",(주)영화특별시에스엠씨,20200109,개봉영화,장편,한국,232.0,144149940.0,19632.0,56050880.0,7366.0,다큐멘터리,전체관람가,독립/예술영화,4.0,9.44
해치지않아,손재곤,"(주)디씨지플러스,(주)어바웃필름",(주)에이스메이커무비웍스,20200115,개봉영화,장편,한국,1216.0,10154099090.0,1209689.0,2304920440.0,262944.0,코미디,12세이상관람가,일반영화,6.5,6.2
갱,조바른,"(주)스토리풀,(주)컨텐츠 빌리지,(주)모그픽쳐스",(주)삼백상회,20200116,개봉영화,장편,한국,53.0,15304640.0,9463.0,1922460.0,222.0,액션,15세이상관람가,독립/예술영화,6.0,6.02
엄마 바람피게하기,윤원규,주식회사 마운틴픽쳐스,주식회사 마운틴픽쳐스,20200116,개봉영화,장편,한국,5.0,237000.0,92.0,205000.0,75.0,코미디,12세이상관람가,독립/예술영화,5.59,5.59
남산의 부장들,우민호,(주)하이브미디어코프,(주)쇼박스,20200122,개봉영화,장편,한국,1659.0,41223596650.0,4750104.0,9851448590.0,1113402.0,드라마,15세이상관람가,일반영화,6.9,7.47
